"X_uid_","id","data","endereco","bairro","fonte","nome","url","dom_geo","cluster","x","y","classe_potencial_construtivo","potencial_construtivo","renda","dist_via_principal","dist_via_secundaria","dist_polo_padrao","dist_polo_valoriz","dist_polo_desvaloriz","area","precounit","preco","geom","z"
124,13647383,2022-07-12,"Rua Veneza - Lot. Independência","AGUAS CLARAS","internet","julio imoveis",NA,"Dom_Geo_03",3,706742.73,6994548.11,"Baixo Potencial",0,1296.91,936.18,873.57,1,1577.83,1053.77,360,444.44,160000,c(706742.727481416, 6994548.11245131),444.44
125,13697815,2022-07-15,"Lot. Independencia","AGUAS CLARAS","internet","Zucco","https://www.imobiliariazucco.com.br/imovel/terreno-a-venda-360-m-por-160000-aguas-claras-brusque-sc/TE0242-ZUCC?from=sale","Dom_Geo_03",3,706629.29,6994354.7,"Baixo Potencial",0,1282.2,983.93,1066.37,1,1741.49,1259.44,360,444.44,160000,c(706629.289801255, 6994354.69612683),444.44
126,13701917,2022-07-18,"Rua São Pedro","SAO PEDRO","internet","GOLDINVEST","https://www.goldinvestimoveis.com.br/detalhes_imovel/2659/terreno-no-bairro-sao-luiz-brusque-venda-RS380000","Dom_Geo_01",2,706408.48,7002963.05,"Baixo Potencial",0,1788.66,535.12,24.51,326.29,88.94,1107.34,841.16,451.76,380000,c(706408.481052776, 7002963.04647049),451.76
127,13649242,2022-07-12,"Lot. Jardim das hortencias","SAO JOAO","internet","Julio imoveis",NA,"Dom_Geo_03",0,701116.07,6992518.84,"Baixo Potencial",0,1148.59,6567.18,2611.26,710.28,1,453.51,462.45,451.94,209000,c(701116.071512051, 6992518.83936475),451.94
130,13647399,2022-07-12,"Rua 100 - Lot. Guilherme Bruns","DOM JOAQUIM","internet","Julio imoveis",NA,"Dom_Geo_03",0,702406.85,6995202.54,"Baixo Potencial",0,1457.76,5275.46,766.62,17.06,1207.55,733.17,426.52,466.57,199000,c(702406.846162892, 6995202.53858198),466.57
132,13697840,2022-07-15,"Rua Padre Antonio Eising","AZAMBUJA","internet","Zucco","https://www.imobiliariazucco.com.br/imovel/terreno-a-venda-399-m-por-190000-azambuja-brusque-sc/TE0165-ZUCC?from=sale","Dom_Geo_03",3,706385.6,6997301.44,"Baixo Potencial",0,1289.12,1575.23,13.79,183.41,1738.62,645.6,399,476.19,190000,c(706385.604705387, 6997301.44445224),476.19
133,13697405,2022-07-14,"Rua Girassol","SOUZA CRUZ","internet","Amo imoveis",NA,"Dom_Geo_03",3,704469.2,6996702.29,"Baixo Potencial",0,1243.8,3437.81,804.07,1,1942.85,927.24,564.73,478.1,270000,c(704469.201667093, 6996702.29369915),478.1
134,13647413,2022-07-12,"Lot. Florence","VOLTA GRANDE","internet","planifik",NA,"Dom_Geo_01",1,709694.85,7009841.81,"Baixo Potencial",0,1197.05,274.43,2900.31,985.91,1,3114.47,260,480.77,125000,c(709694.850622664, 7009841.80786572),480.77
136,13697833,2022-07-15,"Lot. Prospero Cadore","LIMEIRA BAIXA","internet","Zucco","https://www.imobiliariazucco.com.br/imovel/terreno-a-venda-390-m-por-190000-limeira-baixa-brusque-sc/TE0209-ZUCC?from=sale","Dom_Geo_03",4,712137.15,7002571.5,"Baixo Potencial",0,1220.63,2518.5,2675.73,1,2628.48,756.25,390,487.18,190000,c(712137.151925404, 7002571.49734574),487.18
137,13730975,2022-07-25,"Rua Ivan Carlos Kohler","SAO JOAO","internet","ARG","http://www.imoveisdebrusque.com.br/imovel/71956/excelente-terreno-para-casa-geminada/","Dom_Geo_03",0,701957.72,6992640.1,"Baixo Potencial",0,1106.92,5719.16,2974.97,241.15,394.72,387.81,243.75,492.31,120000,c(701957.71722772, 6992640.10340874),492.31
140,13697834,2022-07-15,"Lot. Jardim das hortencias",NA,"internet","Zucco","https://www.imobiliariazucco.com.br/imovel/terreno-localizado-loteamento-jardim-das-hortensias/TE0171-ZUCC?from=sale",NA,0,700973.5,6992412.52,"Baixo Potencial",0,1154.94,6729.34,2650.14,887.4,1,562.95,403,496.28,2e+05,c(700973.498966358, 6992412.52258522),496.28
141,13697429,2022-07-14,"Bateas - Lot. recanto do sol","BATEAS","internet","Amo imoveis",NA,"Dom_Geo_01",1,707811.51,7005227.02,"Baixo Potencial",0,1141.98,1085.24,1367.51,1,1867.08,990.37,338,502.66,169900,c(707811.509819268, 7005227.02261218),502.66
142,13710591,2022-07-18,"Lot. Cristina Klabunde","AGUAS CLARAS","internet","GOLDINVEST","https://www.goldinvestimoveis.com.br/detalhes_imovel/1476/terreno-no-bairro-aguas-claras-brusque-venda-RS229000","Dom_Geo_03",3,708392.8,6994944.76,"Baixo Potencial",0,1243.82,255.06,1006.33,553.7,1,408.3,453.99,504.42,229000,c(708392.798489376, 6994944.76145883),504.42
