id,ct_bciinsc,inscricao,potencial_construtivo,renda,dist_via_principal,dist_via_secundaria,dist_polo_padrao,dist_polo_valoriz,dist_polo_desvaloriz,area,predicao
10205955,01.10.013.3936,1100133936,0,1147.69,1402.9,1619.85,162.45,2156.95,1252.44,400,455.91
10205956,01.10.013.3572,1100133572,0,1146.43,1348.89,1574.3,107.95,2110.79,1204.99,400,456.2
10205957,01.10.013.4436,1100134436,0,1149.57,1374.89,1587.35,135.26,2124.58,1220.5,400,454.25
10205958,01.10.013.3915,1100133915,0,1145.22,1386.69,1607.18,146.01,2144.06,1239.01,400,455.18
10205959,01.10.013.3962,1100133962,0,1148.9,1430.94,1641.77,190.86,2179.18,1275.72,400,451.62
10205960,01.10.013.3571,1100133571,0,1148.3,1344.07,1565.53,103.56,2102.23,1196.83,400,457.92
10205961,01.10.013.3563,1100133563,0,1135.46,1257.44,1511.84,16.67,2040.21,1137.88,400,433.91
10205962,01.10.013.3938,1100133938,0,1144.0,1416.83,1642.08,175.34,2178.8,1273.36,400,451.5
10205963,01.10.013.3968,1100133968,0,1145.2,1443.21,1662.7,202.26,2199.79,1295.18,400,448.89
10205964,01.10.013.2460,1100132460,0,1128.56,1578.48,1843.07,347.62,2344.98,1469.71,400,434.79
10205965,01.10.013.2456,1100132456,0,1129.13,1596.83,1856.74,362.4,2365.31,1484.03,400,432.96
10205966,01.10.013.2457,1100132457,0,1127.55,1604.18,1867.03,372.04,2370.68,1493.99,400,436.13
10205967,01.10.013.2466,1100132466,0,1127.98,1554.93,1825.19,329.36,2319.08,1451.08,400,432.39
10205968,01.10.013.2461,1100132461,0,1126.98,1585.28,1852.74,357.01,2349.85,1479.08,400,432.87
10205969,01.10.013.2467,1100132467,0,1126.4,1561.12,1834.13,338.46,2323.38,1459.77,400,433.7
10205970,01.10.013.2458,1100132458,0,1125.99,1611.2,1876.81,381.39,2375.82,1503.47,400,434.73
10205972,01.10.013.2462,1100132462,0,1125.42,1591.77,1861.9,366.06,2354.49,1487.97,400,435.09
10205973,01.10.013.3970,1100133970,0,1145.2,1449.89,1673.16,208.4,2210.08,1305.03,400,450.48
10205974,01.10.013.3987,1100133987,0,1141.58,1460.98,1690.9,218.24,2227.49,1321.75,400,449.3
10205975,01.10.013.4009,1100134009,0,1144.53,1490.43,1705.54,249.65,2242.91,1339.2,400,451.67
10205976,01.10.013.3971,1100133971,0,1143.38,1455.78,1682.57,213.68,2219.32,1313.9,400,449.15
10205977,01.10.013.3976,1100133976,0,1141.58,1466.35,1699.37,222.89,2235.78,1329.75,400,450.01
10205978,01.10.013.3985,1100133985,0,1134.59,1472.45,1708.6,228.43,2244.84,1338.54,400,439.95
10205979,01.10.013.3982,1100133982,0,1138.04,1485.11,1727.49,241.32,2263.34,1356.58,400,439.72
